"Node1","Node2","Correlation"
"SRP135559.OTU57","SRP135559.OTU1",-0.0327018521287371
"SRP135559.OTU74","SRP135559.OTU1",-0.0381439145092214
"SRP135559.OTU86","SRP135559.OTU1",-0.03110079955669
"SRP135559.OTU91","SRP135559.OTU1",-0.047192607555835
"SRP135559.OTU96","SRP135559.OTU1",-0.0367143715837123
"SRP135559.OTU114","SRP135559.OTU1",-0.0389674142051014
"SRP135559.OTU179","SRP135559.OTU1",-0.0182171620155753
"SRP135559.OTU26","SRP135559.OTU12",-0.0397356534275409
"SRP135559.OTU151","SRP135559.OTU12",-0.0223729046769866
"SRP135559.OTU47","SRP135559.OTU25",0.0332825287599742
"SRP135559.OTU151","SRP135559.OTU26",0.0205322956500795
"SRP135559.OTU206","SRP135559.OTU41",-0.0136347794020346
"SRP135559.OTU184","SRP135559.OTU48",0.0311824530526225
"SRP135559.OTU91","SRP135559.OTU57",0.0472229695237945
"SRP135559.OTU132","SRP135559.OTU57",0.0473579638843951
"SRP135559.OTU184","SRP135559.OTU57",0.0311331930407799
"SRP135559.OTU96","SRP135559.OTU74",0.0446536014339521
"SRP135559.OTU179","SRP135559.OTU86",0.0203220011387203
"SRP135559.OTU86","SRP135559.OTU91",0.0319192992993632
"SRP135559.OTU86","SRP135559.OTU96",0.0309558098021834
"SRP135559.OTU132","SRP135559.OTU114",0.0574274721304108
"SRP135559.OTU184","SRP135559.OTU132",0.0335739571461672
"SRP135559.OTU114","SRP135559.OTU217",0.0404111639278848
