samples,index,variable,value
SAMN08707428,SRP135559.OTU1,SRP135559.OTU7,0.38131678028312394
SAMN08707428,SRP135559.OTU4,SRP135559.OTU7,0.4379668128460505
SAMN08707428,SRP135559.OTU1,SRP135559.OTU8,0.4024710628391102
SAMN08707428,SRP135559.OTU4,SRP135559.OTU8,0.46226386502983063
SAMN08707428,SRP135559.OTU7,SRP135559.OTU8,0.7017733233745466
SAMN08707428,SRP135559.OTU1,SRP135559.OTU9,0.37699231611075945
SAMN08707428,SRP135559.OTU4,SRP135559.OTU9,0.4329998879983394
SAMN08707428,SRP135559.OTU7,SRP135559.OTU9,0.657347011975059
SAMN08707428,SRP135559.OTU8,SRP135559.OTU9,0.69381460309006
SAMN08707428,SRP135559.OTU1,SRP135559.OTU12,0.39370002611449467
SAMN08707428,SRP135559.OTU4,SRP135559.OTU12,0.45218976601749955
SAMN08707428,SRP135559.OTU7,SRP135559.OTU12,0.6864796037509466
SAMN08707428,SRP135559.OTU8,SRP135559.OTU12,0.7245633814852667
SAMN08707428,SRP135559.OTU9,SRP135559.OTU12,0.6786943275580768
SAMN08707428,SRP135559.OTU7,SRP135559.OTU13,-0.39347631140686773
SAMN08707428,SRP135559.OTU8,SRP135559.OTU13,-0.4153051673633453
SAMN08707428,SRP135559.OTU9,SRP135559.OTU13,-0.3890139475683559
SAMN08707428,SRP135559.OTU12,SRP135559.OTU13,-0.4062544374818714
SAMN08707439,SRP135559.OTU5,SRP135559.OTU13,0.3941345621794969
SAMN08707428,SRP135559.OTU1,SRP135559.OTU14,-0.35711587966623337
SAMN08707428,SRP135559.OTU4,SRP135559.OTU14,-0.4101705241453177
SAMN08707428,SRP135559.OTU7,SRP135559.OTU14,-0.6226892336937565
SAMN08707428,SRP135559.OTU8,SRP135559.OTU14,-0.6572341178301112
SAMN08707428,SRP135559.OTU9,SRP135559.OTU14,-0.6156273958181026
SAMN08707428,SRP135559.OTU12,SRP135559.OTU14,-0.6429110394366152
SAMN08707428,SRP135559.OTU13,SRP135559.OTU14,0.36850368602073086
SAMN08707426,SRP135559.OTU1,SRP135559.OTU15,-0.4872179403614119
SAMN08707426,SRP135559.OTU2,SRP135559.OTU15,0.36740492752027043
SAMN08707426,SRP135559.OTU4,SRP135559.OTU15,-0.37895943958111883
SAMN08707426,SRP135559.OTU5,SRP135559.OTU15,0.41437869875914013
SAMN08707426,SRP135559.OTU13,SRP135559.OTU15,0.3809559002930552
SAMN08707428,SRP135559.OTU8,SRP135559.OTU15,-0.3728725865849635
SAMN08707428,SRP135559.OTU12,SRP135559.OTU15,-0.36474658833935425
SAMN08707428,SRP135559.OTU14,SRP135559.OTU15,0.33085290858524113
SAMN08707426,SRP135559.OTU1,SRP135559.OTU16,0.35090756100755083
SAMN08707426,SRP135559.OTU15,SRP135559.OTU16,-0.5162875490732298
SAMN08707428,SRP135559.OTU7,SRP135559.OTU16,0.4379522897455379
SAMN08707428,SRP135559.OTU8,SRP135559.OTU16,0.4622485362323551
SAMN08707428,SRP135559.OTU9,SRP135559.OTU16,0.4329855296024271
SAMN08707428,SRP135559.OTU12,SRP135559.OTU16,0.45217477127993044
SAMN08707428,SRP135559.OTU14,SRP135559.OTU16,-0.41015692277741794
SAMN08707439,SRP135559.OTU5,SRP135559.OTU17,-0.4237381514088382
SAMN08707439,SRP135559.OTU13,SRP135559.OTU17,-0.42034941327698455
SAMN08707428,SRP135559.OTU1,SRP135559.OTU21,0.3832717355818712
SAMN08707428,SRP135559.OTU4,SRP135559.OTU21,0.4402122045668479
SAMN08707428,SRP135559.OTU7,SRP135559.OTU21,0.668296194358555
SAMN08707428,SRP135559.OTU8,SRP135559.OTU21,0.7053712124473326
SAMN08707428,SRP135559.OTU9,SRP135559.OTU21,0.6607171338543588
SAMN08707428,SRP135559.OTU12,SRP135559.OTU21,0.6899990841625835
SAMN08707428,SRP135559.OTU13,SRP135559.OTU21,-0.39549360684124446
SAMN08707428,SRP135559.OTU14,SRP135559.OTU21,-0.6258816702185238
SAMN08707428,SRP135559.OTU15,SRP135559.OTU21,-0.35508521383672764
SAMN08707428,SRP135559.OTU16,SRP135559.OTU21,0.44019760700852556
SAMN08707426,SRP135559.OTU1,SRP135559.OTU22,-0.47654923925771003
SAMN08707426,SRP135559.OTU2,SRP135559.OTU22,0.3593597940573413
SAMN08707426,SRP135559.OTU4,SRP135559.OTU22,-0.37066129483645227
SAMN08707426,SRP135559.OTU5,SRP135559.OTU22,0.40530497196344206
SAMN08707426,SRP135559.OTU13,SRP135559.OTU22,0.3726140386799476
SAMN08707426,SRP135559.OTU15,SRP135559.OTU22,0.7011431672849622
SAMN08707426,SRP135559.OTU16,SRP135559.OTU22,-0.5049823053858992
SAMN08707439,SRP135559.OTU5,SRP135559.OTU25,0.4155197613163584
SAMN08707439,SRP135559.OTU13,SRP135559.OTU25,0.4121967476697705
SAMN08707439,SRP135559.OTU17,SRP135559.OTU25,-0.44315699417088583
SAMN08707439,SRP135559.OTU5,SRP135559.OTU26,0.4202945822138011
SAMN08707439,SRP135559.OTU13,SRP135559.OTU26,0.41693338315106854
SAMN08707439,SRP135559.OTU17,SRP135559.OTU26,-0.4482494000528868
SAMN08707439,SRP135559.OTU25,SRP135559.OTU26,0.4395556149497364
SAMN08707428,SRP135559.OTU4,SRP135559.OTU29,0.38704541982310464
SAMN08707428,SRP135559.OTU7,SRP135559.OTU29,0.5875824850567299
SAMN08707428,SRP135559.OTU8,SRP135559.OTU29,0.6201797547195275
SAMN08707428,SRP135559.OTU9,SRP135559.OTU29,0.5809187882662292
SAMN08707428,SRP135559.OTU12,SRP135559.OTU29,0.6066642006666824
SAMN08707428,SRP135559.OTU14,SRP135559.OTU29,-0.5502905900750162
SAMN08707428,SRP135559.OTU16,SRP135559.OTU29,0.387032585290053
SAMN08707428,SRP135559.OTU21,SRP135559.OTU29,0.5905949344216906
SAMN08707436,SRP135559.OTU25,SRP135559.OTU29,0.35982183293366427
SAMN08707434,SRP135559.OTU2,SRP135559.OTU32,-0.3387262232067363
SAMN08707434,SRP135559.OTU24,SRP135559.OTU32,-0.47269387091517273
SAMN08707421,SRP135559.OTU4,SRP135559.OTU32,-0.6520105757787139
SAMN08707426,SRP135559.OTU15,SRP135559.OTU36,0.4044735401594678
SAMN08707426,SRP135559.OTU22,SRP135559.OTU36,0.39561670844855723
SAMN08707439,SRP135559.OTU5,SRP135559.OTU36,0.41007503193986844
SAMN08707439,SRP135559.OTU13,SRP135559.OTU36,0.4067955611321645
SAMN08707439,SRP135559.OTU17,SRP135559.OTU36,-0.4373501225628659
SAMN08707439,SRP135559.OTU25,SRP135559.OTU36,0.42886772865458744
SAMN08707439,SRP135559.OTU26,SRP135559.OTU36,0.43379593372125247
SAMN08707426,SRP135559.OTU15,SRP135559.OTU38,-0.4389903127118463
SAMN08707426,SRP135559.OTU22,SRP135559.OTU38,-0.42937766086600254
SAMN08707428,SRP135559.OTU1,SRP135559.OTU38,0.35882441307707663
SAMN08707428,SRP135559.OTU4,SRP135559.OTU38,0.41213288450101054
SAMN08707428,SRP135559.OTU7,SRP135559.OTU38,0.6256683377350905
SAMN08707428,SRP135559.OTU8,SRP135559.OTU38,0.6603784934039679
SAMN08707428,SRP135559.OTU9,SRP135559.OTU38,0.6185727142267063
SAMN08707428,SRP135559.OTU12,SRP135559.OTU38,0.6459868897519361
SAMN08707428,SRP135559.OTU13,SRP135559.OTU38,-0.3702667016003623
SAMN08707428,SRP135559.OTU14,SRP135559.OTU38,-0.5859592610733725
SAMN08707428,SRP135559.OTU16,SRP135559.OTU38,0.4121192180606992
SAMN08707428,SRP135559.OTU21,SRP135559.OTU38,0.6288760476900667
SAMN08707428,SRP135559.OTU29,SRP135559.OTU38,0.5529233205480899
SAMN08707421,SRP135559.OTU32,SRP135559.OTU38,0.7807756893141506
SAMN08707439,SRP135559.OTU1,SRP135559.OTU39,-0.3999947643450186
SAMN08707439,SRP135559.OTU2,SRP135559.OTU39,-0.4293411220373791
SAMN08707439,SRP135559.OTU4,SRP135559.OTU39,-0.37988458958355587
SAMN08707439,SRP135559.OTU5,SRP135559.OTU39,0.564869542640001
SAMN08707439,SRP135559.OTU8,SRP135559.OTU39,-0.3768509188874352
SAMN08707439,SRP135559.OTU9,SRP135559.OTU39,-0.3502116955089845
SAMN08707439,SRP135559.OTU13,SRP135559.OTU39,0.5603521420889704
SAMN08707439,SRP135559.OTU14,SRP135559.OTU39,0.418342953770495
SAMN08707439,SRP135559.OTU17,SRP135559.OTU39,-0.6024403937420411
SAMN08707439,SRP135559.OTU25,SRP135559.OTU39,0.5907560784478484
SAMN08707439,SRP135559.OTU26,SRP135559.OTU39,0.5975445750038917
SAMN08707439,SRP135559.OTU36,SRP135559.OTU39,0.5830151542509457
SAMN08707436,SRP135559.OTU29,SRP135559.OTU41,0.4000388481971629
SAMN08707439,SRP135559.OTU5,SRP135559.OTU41,0.36482194981364385
SAMN08707439,SRP135559.OTU13,SRP135559.OTU41,0.3619043790247963
SAMN08707439,SRP135559.OTU17,SRP135559.OTU41,-0.38908714756380797
SAMN08707439,SRP135559.OTU25,SRP135559.OTU41,0.3815408127624263
SAMN08707439,SRP135559.OTU26,SRP135559.OTU41,0.3859251747485661
SAMN08707439,SRP135559.OTU36,SRP135559.OTU41,0.37654132377303073
SAMN08707439,SRP135559.OTU39,SRP135559.OTU41,0.5186775803895353
SAMN08707426,SRP135559.OTU22,SRP135559.OTU47,0.3521672414699593
SAMN08707434,SRP135559.OTU32,SRP135559.OTU47,0.34470929929841615
SAMN08707439,SRP135559.OTU5,SRP135559.OTU47,0.4045240239045654
SAMN08707439,SRP135559.OTU13,SRP135559.OTU47,0.401288945872298
SAMN08707439,SRP135559.OTU17,SRP135559.OTU47,-0.4314299034432018
SAMN08707439,SRP135559.OTU25,SRP135559.OTU47,0.4230623320261166
SAMN08707439,SRP135559.OTU26,SRP135559.OTU47,0.4279238261160238
SAMN08707439,SRP135559.OTU36,SRP135559.OTU47,0.4175187691881624
SAMN08707439,SRP135559.OTU39,SRP135559.OTU47,0.5751231307092026
SAMN08707439,SRP135559.OTU41,SRP135559.OTU47,0.3714442470161257
SAMN08707428,SRP135559.OTU21,SRP135559.OTU51,0.32997017700881776
SAMN08707434,SRP135559.OTU24,SRP135559.OTU51,0.42455736689410506
SAMN08707434,SRP135559.OTU32,SRP135559.OTU51,-0.4137146367948793
