"SAMN08707421"	"SAMN08707428"	"SAMN08707431"	"SAMN08707434"	"SAMN08707436"	"SAMN08707439"	"SAMN08707426"
"SRP135559.OTU1"	0.00747285501383862	0.00758571109844072	0.0396308476226965	0.0172621251388375	0.0119580270586982	0.153875519803667	0.17959541657202
"SRP135559.OTU2"	0.000702576112412178	0.000206582546253832	0.00587525364385087	0.000123411082315192	0.00279543065283389	0.00706932987933738	0.000132505489513137
"SRP135559.OTU4"	0.094741324249521	0.00162787046448019	0.00394557101364703	0.00723497470072812	0.0244220730797912	0.0483536710068853	0.0422881805103355
"SRP135559.OTU5"	0.0266766020864381	0.0345240751299404	0.157451492685774	0.0777181290879921	0.0353680622136998	0.00285636376031086	0.00383634941066606
"SRP135559.OTU7"	0.0308281882052373	0.00315658130675855	0.0912587366215302	0.0410378438500319	0.0147810802173219	0.0651646328993114	0.045449382903006
"SRP135559.OTU8"	0.043584151700076	0.000512324714709503	0.0502645853503269	0.0333826977662594	0.0147278150633855	0.119033335605699	0.043584151700076
"SRP135559.OTU9"	0.00257611241217798	0.000231372451804292	0.00718228117910155	0.00718228117910155	0.00215723873441994	0.023764401118004	0.0162603164988264
"SRP135559.OTU12"	0.0383436235895253	0.000594957733211037	0.0410074136947785	0.063525854621745	0.00751038670501757	0.0301964472688555	0.0301964472688555
"SRP135559.OTU13"	0.107281243346817	0.168265615574671	0.105923464665482	0.105923464665482	0.141152657931181	0.00699434180925762	0.0101145856995028
"SRP135559.OTU14"	0.0464551841601022	0.0438120264095127	0.0322343247759833	0.0322343247759833	0.0249813571961223	0.0136887313381962	0.0131622119583049
"SRP135559.OTU15"	0.0144347455822866	0.00969285307022981	0.0144958289677855	0.011366999975279	0.00684457228081389	0.011366999975279	0.0019560334166225
"SRP135559.OTU16"	0.0101979987225889	0.00766008081509209	0.0183353005928303	0.0164136739479205	0.0227974858847342	0.0353943690776467	0.0417202998409935
"SRP135559.OTU17"	0.0134567522942632	0.00570994157845592	0.00819617776952561	0.0173392570652845	0.00700436774262277	0.0290340173154271	0.0134567522942632
"SRP135559.OTU21"	0.00766446668086013	0.000239635753654445	0.0077717802151165	0.00377946439590275	0.00119846596356664	0.00413076260182009	0.00413076260182009
"SRP135559.OTU22"	0.0628273365978284	0.0235338836692366	0.033707155167192	0.0363291373565346	0.0259667625439438	0.0198786556684164	0.00445470836172737
"SRP135559.OTU24"	0.00108579944645518	0.00150392093672789	0.0241972918131059	0.00046279155868197	0.00181101523383403	0.005812163797761	0.0027384467832715
"SRP135559.OTU25"	0.00819672131147541	0.00537940950444979	0.012604874174631	0.024589658151302	0.0209864706509002	0.00387211125502761	0.00777365538477071
"SRP135559.OTU26"	0.00183095592931658	0.000743697166513795	0.00565642365485869	0.00851536467974824	0.00431447746883989	8.86222646397164e-05	0.000233462052951718
"SRP135559.OTU29"	0.0181179476261443	0.002371567630994	0.0113217421606094	0.0109218807848945	0.0138755726004049	0.0113217421606094	0.00755281290224881
"SRP135559.OTU32"	0.00295933574622099	0.0127610673851556	0.00697603480059946	0.0341694434160188	0.00660487908810057	0.0130956438748381	0.00761591075439793
"SRP135559.OTU36"	0.0155844155844155	0.0167249229447102	0.0263723292794525	0.0123873873873874	0.0155001597954618	0.000974844911036881	0.00138815274728048
"SRP135559.OTU38"	0.000489674260166064	0.000413165092507664	0.00641901301043752	0.00558435147476244	0.00394162139128582	0.0185697729906606	0.0233462052951718
"SRP135559.OTU39"	0.0149670002129018	0.0251039110207656	0.0142313563583028	0.0122485499197828	0.0187759667625439	6.13538755198036e-05	0.0142313563583028
"SRP135559.OTU41"	0.00270385352352565	0.00229719791434261	0.00106762509781038	0.000539923485128964	0.0104666027484819	0.000245415502079214	0.00396254511496429
