"SAMN08707423"	"SAMN08707425"	"SAMN08707429"	"SAMN08707432"	"SAMN08707433"	"SAMN08707438"	"SAMN08707441"
"SRP135559.OTU1"	0.0174614563171595	0.0705496162888701	0.0259051186017478	0.0941827556960692	0.0941827556960692	0.2628148315765	0.145276248525363
"SRP135559.OTU2"	0.162021034112531	0.00245752561770838	0.162021034112531	0.00260311640696608	0.642778354790142	0.000245139635307651	0.00225496460872985
"SRP135559.OTU4"	0.256966228392178	0.0402785787162311	0.0429031018918659	0.0266605560647724	0.000491131454151672	0.04606110891114	0.00275265434526151
"SRP135559.OTU5"	0.0717062671027164	0.0175841724703899	0.0799481417458945	0.0213137794072716	0.000539439466035442	0.00922102166657238	0.00621804954777822
"SRP135559.OTU6"	4.17139424681305e-05	0.126522645610611	0.139152981849611	0.07920016750545	0.07920016750545	0.0510833286191096	0.00983705269366889
"SRP135559.OTU7"	0.00433825001668558	0.0106285764982478	0.0586286372803226	0.0186862205927284	0.00102251958487315	0.00156512228696423	0.0626105977192292
"SRP135559.OTU9"	0.00727491156644197	0.0628576498247792	0.00388936905790838	0.0231694213148023	0.0231694213148023	0.0186557548100797	0.0259904640188753
"SRP135559.OTU15"	0.00697457118067142	0.010735039701903	0.00422548737155479	0.000219981668194317	0.00497158030847646	0.0027028216200587	0.00497158030847646
"SRP135559.OTU16"	0.00116799038910766	0.0396220556270239	0.000624219725343321	0.0384845707302169	0.0204237088882488	0.0222197079695524	0.0204237088882488
"SRP135559.OTU17"	0.0038043115530935	0.0124481232845586	0.00480169019494862	0.0516101435991445	0.000346207418500358	0.00167826365710622	0.0124481232845586
"SRP135559.OTU22"	0.0428402189147701	0.00124207070931109	0.00881110150773072	0.0141724781658108	0.0141724781658108	0.0037965215314313	0.0204974439638223
"SRP135559.OTU24"	0.0001918841353534	0.00764760679590116	0.0151733410160377	0.0901863733577757	0.000756825519512412	0.0223517062347181	0.0227179561765497
"SRP135559.OTU25"	0.00477207501835413	0.00538526371822739	0.00734658599827139	0.00875078082920359	0.00875078082920359	0.0174991985819614	0.00371731222965002
"SRP135559.OTU26"	0.00943569378629113	0.00237767821496695	0.00513780850859502	0.000421631530705774	0.127267457307794	0.001653121130408	0.000798761305544633
"SRP135559.OTU31"	0.000183541346859775	0.00493279510269263	0.00169014193129918	0.00169014193129918	0.000933954896419572	0.00071027637922473	0.000251917027133307
"SRP135559.OTU32"	0.000266969231796035	0.00159694805482854	0.000744261980217036	0.0138282920867705	0.00422008201122641	0.0046639387025199	0.0119691309476996
"SRP135559.OTU36"	0.0116715611025829	0.000461340549172692	0.00220877748967637	0.00127100519401161	5.63593471977328e-05	0.00389709163822418	0.00138247149036571
"SRP135559.OTU37"	0.0271474337582594	0.000922681098345383	0.00947761609088418	0.00471127406049496	0.00947761609088418	0.00512907544643699	0.00086020448289422
"SRP135559.OTU38"	0.000458853367149435	0.0156589628709577	0.00117641409776241	0.00527897359849978	0.00527897359849978	0.00382166405812952	0.0132778706252458
"SRP135559.OTU41"	0.00224421010478542	0.00795426006281227	0.000240084509747431	0.00795426006281227	0.00348622819094547	0.0258465174457707	0.000387092017302399
"SRP135559.OTU47"	0.0270139491423614	0.00491505123541675	0.00667434937097858	0.0107461087564804	0.0107461087564804	0.00438108527716493	0.00473726897365316
"SRP135559.OTU48"	0.000125141827404392	0.00304307323781218	0.000624219725343321	0.0320501069355332	0.000458926112895824	0.000131998265165658	8.6020448289422e-05
"SRP135559.OTU52"	0.00142661683241006	0.0119771104112142	0.00885466115717433	0.00165597311335167	0.0261587884350619	0.0030548169938338	0.00109983287455761
"SRP135559.OTU55"	0.00241106587465795	0.00588209200195182	0.0220397579948142	0.00223648029330889	0.000225437388790932	0.00444394159391048	0.00175727487219819
"SRP135559.OTU57"	0.000342054328238671	0.00152597258572506	0.00110438874483818	0.00727161625420103	0.000112718694395466	0.00207135012147968	0.000608287455760913
"SRP135559.OTU60"	0.0143913101515051	0.011018941578317	0.00120042254873716	0.0072639462499903	0.0072639462499903	0.00244511072140194	0.00245772709398348
"SRP135559.OTU61"	0.0110875659080291	0.0002927738100519	0.00715451839047345	0.00809043690803543	0.000289848071302626	0.000345709742100532	0.00135789421942588
"SRP135559.OTU62"	0.00310634404608564	0.000621035354655547	0.000360126764621147	0.0111946226703331	0.000249591394732816	0.00310634404608564	0.0124238104600865
"SRP135559.OTU64"	0.000392111059200427	0.00194295346670806	0.0032891577835398	0.00210690350907497	0.00210690350907497	0.00280339172685159	0.000798761305544633
"SRP135559.OTU68"	0.00488746066689575	0.00488746066689575	0.00225679439162585	0.0112679498930645	0.000273745400674702	0.00575135298221794	0.00439933149823044
"SRP135559.OTU69"	0.00101782019622238	0.00166792352393204	0.00261692115624699	0.0019070871489967	0.0019070871489967	0.0023256837195854	0.00124115218246166
"SRP135559.OTU71"	0.00114296202362678	0.000487956350086501	0.00136848170556035	0.00305039121270559	0.00305039121270559	0.00920216477154871	0.00570192685804169
"SRP135559.OTU72"	0.000125141827404392	0.00228895887858758	0.000240084509747431	0.00674610449129238	0.000120770029709428	0.0018354044489701	0.0019047384978372
"SRP135559.OTU74"	0.00612360675432156	0.000567803752827929	0.0053979642475964	0.000653834402688664	0.0147983543070619	0.004846222021082	0.00173269760125836
"SRP135559.OTU75"	0.000450510578655809	0.00217362374129441	0.00107083296625758	0.000470516345860067	0.000644106825116946	0.00161540734036067	0.00107083296625758
"SRP135559.OTU77"	0.002811519722352	0.00330035931331234	0.00653029866513012	0.00337425590213349	0.00337425590213349	0.000854845907739498	0.00668501769563508
"SRP135559.OTU82"	0.0115047053327104	0.00168566739120791	0.0152933832709114	0.00135655362053162	0.00607617478787461	0.000540564324011742	0.000731173810460087
"SRP135559.OTU87"	0.00349562837882934	0.00152597258572506	0.0121002592912705	0.00562401883439238	0.00562401883439238	0.00537421508174463	0.00145620330318521
"SRP135559.OTU114"	0.00114296202362678	0.00117996717384554	0.000432152117545376	0.00176596394744882	0.000940665716205724	0.000182283318562099	0.000516122689736532
"SRP135559.OTU135"	0.00174364279516786	0.00342023210874062	0.00919523672332661	0.000824931255728689	0.00342023210874062	0.00191711766073931	0.000823338576484468
"SRP135559.OTU150"	0.000634051925515584	0.000204054473672537	0.000792278882166522	0.00110530143621428	0.00110530143621428	0.00279082046350248	0.00205834644121117
"SRP135559.OTU179"	0.00103450577320964	0.000106463203655236	0.000120042254873716	0.000452184540177207	0.000418066734477821	0.000377137900473308	0.000418066734477821
"SRP135559.OTU184"	0.000246121394317538	0.000523444084638247	0.000144050705848458	0.000494958753437213	2.41540059418854e-05	4.39994217218859e-05	0.000246121394317538
"SRP135559.OTU206"	0.00286991924180738	0.00107147678029463	0.00107147678029463	0.000494958753437213	0.000789030860768259	0.000131998265165658	0.000540699960676367
"SRP135559.OTU389"	0.00143495962090369	0.000301645743689837	0.000456921897434327	4.2774213260006e-05	4.8308011883771e-05	0.000456921897434327	4.91545418796697e-05
