"","SAMN08707421","SAMN08707422","SAMN08707423","SAMN08707424","SAMN08707425","SAMN08707426","SAMN08707427","SAMN08707428","SAMN08707429","SAMN08707430","SAMN08707431","SAMN08707432","SAMN08707433","SAMN08707434","SAMN08707435","SAMN08707436","SAMN08707437","SAMN08707438","SAMN08707439","SAMN08707440","SAMN08707441"
"SRP135559.OTU1",0.00718835118474677,0.0382322604131905,0.0172840933489686,0,0.0698315682245289,0.177885967488922,0.00030981411153308,0.00723581016639211,0.0255233589591957,0.000155823279998032,0,0,0,0.0167630404170537,0.442090582492563,0.0114775051124744,0,0.260883129199918,0.149970101654375,0.167438092105791,0.143962688066635
"SRP135559.OTU2",0.000675827889164226,6.82583502715166e-05,0,0.259785026761525,0.00243251312854559,0.00013124425806371,0.0211473116130322,0.000197053653768848,0,0.0293439839912083,0.00575485362796105,0.00258804517536132,0.639667646846731,0.000119843005662582,0.0233915031468192,0,0.00165947329154436,0.000243337846522453,0.0068899076473324,0.00178082960990205,0.00223457564373436
"SRP135559.OTU3",0.00389113027094554,0.035721869975427,0.00743224272053116,0,0.0730632102147988,0.00776216040548226,0.000179892064761143,0,0,0.533489703361682,0.00462466792675877,0.113952965620311,0.000456705152755855,0,0,0,0,0,0,0,0
"SRP135559.OTU4",0.0911343668721457,0.026173285198556,0.254356120038978,0,0.0398686267277868,0.0418856675020468,0.0303018189086548,0.00155278279169852,0.0422708456534595,0.00670860226517842,0.00386471547250206,0.0265061997654964,0.000488754637159775,0.00702579620696887,0.0314152300752942,0.0234406952965235,0.000801846338351264,0.0457225574183726,0.0471264367816092,0.0151691387041657,0.00272776536346865
"SRP135559.OTU5",0.0256609801552356,0.0227527834238388,0.0709779179810726,0,0.0174052022410735,0.00379983375727312,0.036837897261643,0.0329316066178499,0.0787699586043761,0.00654457775991733,0.154224880973259,0.0211903792761979,0.000536828863765654,0.075471132816011,0.0135052829489183,0.0339468302658487,0.0948758532690927,0.00915324668842149,0.00278386818151618,0.0146477246291944,0.00616182711569257
"SRP135559.OTU6",0,0,4.12902373362842e-05,0,0.125234908758804,0.217284243814333,6.99580251848891e-05,0.0039174266369247,0.137102306327617,0,0,0,0,0,0,0.00828220858895706,0,0.0507078635561019,0,0.0156424222491397,0.00974810791721719
"SRP135559.OTU7",0.029654508591206,0,0.00429418468297356,0,0.0105203997400636,0.0450167805158524,0,0.003010979829588,0.0577646363098758,0.0480837837172874,0.0893885955169301,0.0185780332071712,0.00101757112982445,0,0.0145027319510279,0.0141871165644172,0,0.00155361855856643,0.0635107301840409,0.0353037437530583,0.0620444844949676
"SRP135559.OTU8",0,0,0,0,0,0,0,0.000488693061346743,0,0,0.0492345265236397,0.181952941319417,0.00121788040734895,0.0324175330317284,0,0.0141359918200409,0,0.0105321611520487,0.116012225101322,0,0
"SRP135559.OTU9",0.00247803559360216,0.000538482541030853,0.00720101739144797,0,0.0622178899485396,0.0161055453823895,0,0.00022070009222111,0.00383205204021289,0,0,0,0,0,0.0410101598566498,0.00207055214723926,0.154358906421046,0.0185186340635549,0.0231612517440702,0.0615027955816173,0.0257554631416794
"SRP135559.OTU10",0.0353888058325995,0,0.0129403603811915,0,0,0,0,0.148609983526315,0.022755765819042,0,0,0,0,0,0,0.0116564417177914,0,0.00366254656176102,0.00166101920138197,0.13345793792766,0.0319660003531482
"SRP135559.OTU11",0,0.283780299123259,0.0207442152377492,0,0,0,0.000339796122326604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRP135559.OTU12",0.0368838190419628,0.00398932136031308,0,0,0,0,0.00576654007595443,0.000567514522854283,0.0534121821407451,0,0.040167059633534,0,0,0.0616891871648141,0.0074941079893017,0.00720858895705521,0.151172438798207,0.00180319583705099,0,0.00244663527486544,0.00465181414662957
"SRP135559.OTU13",0.103196870712077,0,0,0,0,0.0100183116988632,0,0.160504142067802,0,0,0,0,0,0,0,0.135480572597137,0,8.11126155074842e-05,0.0068168228024716,0.0119764802143413,0.0139432649159446
